Name,Collection Month,Year,Tax Type,Amount,FIPS State,Numeric Month
Alabama,June,2021,Tobacco,13934035,01,06
Alabama,March,2020,Alcoholic Beverage,,01,03
Alabama,March,2020,Corporate Income,39608470,01,03
Alabama,March,2020,General Sales,249879659,01,03
Alabama,March,2020,Individual Income,467964037,01,03
Alabama,March,2020,Lodging,5110063,01,03
Alabama,March,2020,Motor Fuel,62069126,01,03
Alabama,March,2020,Tobacco,14747530,01,03
Alabama,March,2021,Alcoholic Beverage,,01,03
Alabama,March,2021,Corporate Income,45511735,01,03
Alabama,March,2021,General Sales,276577929,01,03
Alabama,March,2021,Individual Income,509047598,01,03
Alabama,March,2021,Lodging,4550039,01,03
Alabama,March,2021,Motor Fuel,62969975,01,03
Alabama,March,2021,Tobacco,12539061,01,03
Alabama,May,2019,Alcoholic Beverage,,01,05
Alabama,May,2019,Corporate Income,27067791,01,05
Alabama,May,2019,General Sales,250242296,01,05
Alabama,May,2019,Individual Income,611521193,01,05
Alabama,May,2019,Lodging,6875837,01,05
Alabama,May,2019,Motor Fuel,51555634,01,05
Alabama,May,2019,Tobacco,14681537,01,05
Alabama,May,2020,Alcoholic Beverage,,01,05
Alabama,May,2020,Corporate Income,10125463,01,05
Alabama,May,2020,General Sales,222439229,01,05
Alabama,May,2020,Individual Income,525518712,01,05
Alabama,May,2020,Lodging,2162683,01,05
Alabama,May,2020,Motor Fuel,50664880,01,05
Alabama,May,2020,Tobacco,9493994,01,05
Alabama,May,2021,Alcoholic Beverage,,01,05
Alabama,May,2021,Corporate Income,36944922,01,05
Alabama,May,2021,General Sales,352957123,01,05
Alabama,May,2021,Individual Income,850447940,01,05
Alabama,May,2021,Lodging,8243305,01,05
Alabama,May,2021,Motor Fuel,77483316,01,05
Alabama,May,2021,Tobacco,12921417,01,05
Alabama,November,2019,Alcoholic Beverage,,01,11
Alabama,November,2019,Corporate Income,11225554,01,11
Alabama,November,2019,General Sales,271478193,01,11
Alabama,November,2019,Individual Income,485352531,01,11
Alabama,November,2019,Lodging,6838582,01,11
Alabama,November,2019,Motor Fuel,69467807,01,11
Alabama,November,2019,Tobacco,14389917,01,11
Alabama,November,2020,Alcoholic Beverage,,01,11
Alabama,November,2020,Corporate Income,10809108,01,11
Alabama,November,2020,General Sales,303292479,01,11
Alabama,November,2020,Individual Income,560053780,01,11
Alabama,November,2020,Lodging,5226470,01,11
Alabama,November,2020,Motor Fuel,74631180,01,11
Alabama,November,2020,Tobacco,15088673,01,11
Alabama,November,2021,Alcoholic Beverage,,01,11
Alabama,November,2021,Corporate Income,24673139,01,11
Alabama,November,2021,General Sales,347380107,01,11
Alabama,November,2021,Individual Income,618841765,01,11
Alabama,November,2021,Lodging,8358418,01,11
Alabama,November,2021,Motor Fuel,82310161,01,11
Alabama,November,2021,Tobacco,12349914,01,11
Alabama,October,2019,Alcoholic Beverage,,01,10
Alabama,October,2019,Corporate Income,29008202,01,10
Alabama,October,2019,General Sales,266595480,01,10
Alabama,October,2019,Individual Income,229125461,01,10
Alabama,October,2019,Lodging,6229789,01,10
Alabama,October,2019,Motor Fuel,66916914,01,10
Alabama,October,2019,Tobacco,14727119,01,10
Alabama,October,2020,Alcoholic Beverage,,01,10
Alabama,October,2020,Corporate Income,43750649,01,10
Alabama,October,2020,General Sales,305618578,01,10
Alabama,October,2020,Individual Income,229577175,01,10
Alabama,October,2020,Lodging,5163717,01,10
Alabama,October,2020,Motor Fuel,66714253,01,10
Alabama,October,2020,Tobacco,15686471,01,10
Alabama,October,2021,Alcoholic Beverage,,01,10
Alabama,October,2021,Corporate Income,63278343,01,10
Alabama,October,2021,General Sales,333844049,01,10
Alabama,October,2021,Individual Income,246157697,01,10
Alabama,October,2021,Lodging,7936995,01,10
Alabama,October,2021,Motor Fuel,74235611,01,10
Alabama,October,2021,Tobacco,13951101,01,10
Alabama,September,2019,Alcoholic Beverage,,01,09
Alabama,September,2019,Corporate Income,120512705,01,09
Alabama,September,2019,General Sales,267211586,01,09
Alabama,September,2019,Individual Income,427611946,01,09
Alabama,September,2019,Lodging,7203264,01,09
Alabama,September,2019,Motor Fuel,53936438,01,09
Alabama,September,2019,Tobacco,12282773,01,09
Alabama,September,2020,Alcoholic Beverage,,01,09
Alabama,September,2020,Corporate Income,144861801,01,09
Alabama,September,2020,General Sales,283731963,01,09
Alabama,September,2020,Individual Income,391848383,01,09
Alabama,September,2020,Lodging,6740366,01,09
Alabama,September,2020,Motor Fuel,67849259,01,09
Alabama,September,2020,Tobacco,14490675,01,09
Alabama,September,2021,Alcoholic Beverage,,01,09
Alabama,September,2021,Corporate Income,227242925,01,09
Alabama,September,2021,General Sales,327204560,01,09
Alabama,September,2021,Individual Income,480949871,01,09
Alabama,September,2021,Lodging,9195418,01,09
Alabama,September,2021,Motor Fuel,78220865,01,09
Alabama,September,2021,Tobacco,12162084,01,09
Alaska,April,2019,Alcoholic Beverage,1715485,02,04
Alaska,April,2019,Corporate Income,86094511,02,04
Alaska,April,2019,General Sales,,02,04
Alaska,April,2019,Individual Income,,02,04
Alaska,April,2019,Lodging,,02,04
Alaska,April,2019,Motor Fuel,3770030,02,04
Alaska,April,2019,Tobacco,4754138,02,04
Alaska,April,2020,Alcoholic Beverage,3041401,02,04
Alaska,April,2020,Corporate Income,5461030,02,04
Alaska,April,2020,General Sales,,02,04
Alaska,April,2020,Individual Income,,02,04
Alaska,April,2020,Lodging,,02,04
Alaska,April,2020,Motor Fuel,2706976,02,04
Alaska,April,2020,Tobacco,4213310,02,04
Alaska,April,2021,Alcoholic Beverage,3482676,02,04
Alaska,April,2021,Corporate Income,34933510,02,04
Alaska,April,2021,General Sales,,02,04
Alaska,April,2021,Individual Income,,02,04
Alaska,April,2021,Lodging,,02,04
Alaska,April,2021,Motor Fuel,3380717,02,04
Alaska,April,2021,Tobacco,4474295,02,04
Alaska,August,2019,Alcoholic Beverage,4045762,02,08
Alaska,August,2019,Corporate Income,896410,02,08
Alaska,August,2019,General Sales,,02,08
Alaska,August,2019,Individual Income,,02,08
Alaska,August,2019,Lodging,,02,08
Alaska,August,2019,Motor Fuel,5175240,02,08
Alaska,August,2019,Tobacco,4762669,02,08
Alaska,August,2020,Alcoholic Beverage,3658285,02,08
Alaska,August,2020,Corporate Income,4114440,02,08
Alaska,August,2020,General Sales,,02,08
Alaska,August,2020,Individual Income,,02,08
Alaska,August,2020,Lodging,,02,08
Alaska,August,2020,Motor Fuel,5450925,02,08
Alaska,August,2020,Tobacco,5507030,02,08
Alaska,August,2021,Alcoholic Beverage,3965410,02,08
Alaska,August,2021,Corporate Income,3803000,02,08
Alaska,August,2021,General Sales,,02,08
Alaska,August,2021,Individual Income,,02,08
Alaska,August,2021,Lodging,,02,08
Alaska,August,2021,Motor Fuel,5790478,02,08
Alaska,August,2021,Tobacco,4705900,02,08
Alaska,December,2019,Alcoholic Beverage,3351278,02,12
Alaska,December,2019,Corporate Income,51187720,02,12
Alaska,December,2019,General Sales,,02,12
Alaska,December,2019,Individual Income,,02,12
Alaska,December,2019,Lodging,,02,12
Alaska,December,2019,Motor Fuel,3077290,02,12
Alaska,December,2019,Tobacco,4127025,02,12
Alaska,December,2020,Alcoholic Beverage,3534846,02,12
Alaska,December,2020,Corporate Income,18962360,02,12
Alaska,December,2020,General Sales,,02,12
Alaska,December,2020,Individual Income,,02,12
Alaska,December,2020,Lodging,,02,12
Alaska,December,2020,Motor Fuel,2975466,02,12
Alaska,December,2020,Tobacco,4620200,02,12
Alaska,December,2021,Alcoholic Beverage,3795373,02,12
Alaska,December,2021,Corporate Income,,02,12
Alaska,December,2021,General Sales,,02,12
Alaska,December,2021,Individual Income,,02,12
Alaska,December,2021,Lodging,,02,12
Alaska,December,2021,Motor Fuel,3132670,02,12
Alaska,December,2021,Tobacco,3923605,02,12
Alaska,February,2020,Alcoholic Beverage,2679053,02,02
Alaska,February,2020,Corporate Income,-16508470,02,02
Alaska,February,2020,General Sales,,02,02
Alaska,February,2020,Individual Income,,02,02
Alaska,February,2020,Lodging,,02,02
Alaska,February,2020,Motor Fuel,3593386,02,02
Alaska,February,2020,Tobacco,3821686,02,02
Alaska,February,2021,Alcoholic Beverage,2617841,02,02
Alaska,February,2021,Corporate Income,-31166620,02,02
Alaska,February,2021,General Sales,,02,02
Alaska,February,2021,Individual Income,,02,02
Alaska,February,2021,Lodging,,02,02
Alaska,February,2021,Motor Fuel,3135529,02,02
Alaska,February,2021,Tobacco,3527701,02,02
Alaska,January,2020,Alcoholic Beverage,2630592,02,01
Alaska,January,2020,Corporate Income,44424070,02,01
Alaska,January,2020,General Sales,,02,01
Alaska,January,2020,Individual Income,,02,01
Alaska,January,2020,Lodging,,02,01
Alaska,January,2020,Motor Fuel,3407252,02,01
Alaska,January,2020,Tobacco,,02,01
Alaska,January,2021,Alcoholic Beverage,2789653,02,01
Alaska,January,2021,Corporate Income,-14896910,02,01
Alaska,January,2021,General Sales,,02,01
Alaska,January,2021,Individual Income,,02,01
Alaska,January,2021,Lodging,,02,01
Alaska,January,2021,Motor Fuel,2904902,02,01
Alaska,January,2021,Tobacco,,02,01
Alaska,July,2019,Alcoholic Beverage,4403943,02,07
Alaska,July,2019,Corporate Income,-27215470,02,07
Alaska,July,2019,General Sales,,02,07
Alaska,July,2019,Individual Income,,02,07
Alaska,July,2019,Lodging,,02,07
Alaska,July,2019,Motor Fuel,6275608,02,07
Alaska,July,2019,Tobacco,6032008,02,07
Alaska,July,2020,Alcoholic Beverage,4018921,02,07
Alaska,July,2020,Corporate Income,48146150,02,07
Alaska,July,2020,General Sales,,02,07
Alaska,July,2020,Individual Income,,02,07
Alaska,July,2020,Lodging,,02,07
Alaska,July,2020,Motor Fuel,4245909,02,07
Alaska,July,2020,Tobacco,6125000,02,07
Alaska,July,2021,Alcoholic Beverage,4016626,02,07
Alaska,July,2021,Corporate Income,8275000,02,07
Alaska,July,2021,General Sales,,02,07
Alaska,July,2021,Individual Income,,02,07
Alaska,July,2021,Lodging,,02,07
Alaska,July,2021,Motor Fuel,5690988,02,07
Alaska,July,2021,Tobacco,5207778,02,07
Alaska,June,2019,Alcoholic Beverage,4019101,02,06
Alaska,June,2019,Corporate Income,70591338,02,06
Alaska,June,2019,General Sales,,02,06
Alaska,June,2019,Individual Income,,02,06
Alaska,June,2019,Lodging,,02,06
Alaska,June,2019,Motor Fuel,3643629,02,06
Alaska,June,2019,Tobacco,6032008,02,06
Alaska,June,2020,Alcoholic Beverage,3661970,02,06
Alaska,June,2020,Corporate Income,635460,02,06
Alaska,June,2020,General Sales,,02,06
Alaska,June,2020,Individual Income,,02,06
Alaska,June,2020,Lodging,,02,06
Alaska,June,2020,Motor Fuel,4372440,02,06
Alaska,June,2020,Tobacco,6054810,02,06
Alaska,June,2021,Alcoholic Beverage,4067551,02,06
Alaska,June,2021,Corporate Income,38612840,02,06
Alaska,June,2021,General Sales,,02,06
Alaska,June,2021,Individual Income,,02,06
Alaska,June,2021,Lodging,,02,06
Alaska,June,2021,Motor Fuel,4193122,02,06
Alaska,June,2021,Tobacco,5625526,02,06
Alaska,March,2020,Alcoholic Beverage,3651435,02,03
Alaska,March,2020,Corporate Income,4034780,02,03
Alaska,March,2020,General Sales,,02,03
Alaska,March,2020,Individual Income,,02,03
Alaska,March,2020,Lodging,,02,03
Alaska,March,2020,Motor Fuel,3533122,02,03
Alaska,March,2020,Tobacco,5218677,02,03
Alaska,March,2021,Alcoholic Beverage,3487271,02,03
Alaska,March,2021,Corporate Income,3067190,02,03
Alaska,March,2021,General Sales,,02,03
Alaska,March,2021,Individual Income,,02,03
Alaska,March,2021,Lodging,,02,03
Alaska,March,2021,Motor Fuel,3622718,02,03
Alaska,March,2021,Tobacco,4771392,02,03
Alaska,May,2019,Alcoholic Beverage,3631009,02,05
Alaska,May,2019,Corporate Income,8192731,02,05
Alaska,May,2019,General Sales,,02,05
Alaska,May,2019,Individual Income,,02,05
Alaska,May,2019,Lodging,,02,05
Alaska,May,2019,Motor Fuel,4379707,02,05
Alaska,May,2019,Tobacco,5432575,02,05
Alaska,May,2020,Alcoholic Beverage,3660373,02,05
Alaska,May,2020,Corporate Income,-384220,02,05
Alaska,May,2020,General Sales,,02,05
Alaska,May,2020,Individual Income,,02,05
Alaska,May,2020,Lodging,,02,05
Alaska,May,2020,Motor Fuel,3214186,02,05
Alaska,May,2020,Tobacco,4979004,02,05
Alaska,May,2021,Alcoholic Beverage,3422663,02,05
Alaska,May,2021,Corporate Income,3536510,02,05
Alaska,May,2021,General Sales,,02,05
Alaska,May,2021,Individual Income,,02,05
Alaska,May,2021,Lodging,,02,05
Alaska,May,2021,Motor Fuel,3735531,02,05
Alaska,May,2021,Tobacco,5092934,02,05
Alaska,November,2019,Alcoholic Beverage,2993335,02,11
Alaska,November,2019,Corporate Income,9743032,02,11
Alaska,November,2019,General Sales,,02,11
Alaska,November,2019,Individual Income,,02,11
Alaska,November,2019,Lodging,,02,11
Alaska,November,2019,Motor Fuel,3014739,02,11
Alaska,November,2019,Tobacco,,02,11
Alaska,November,2020,Alcoholic Beverage,2996253,02,11
Alaska,November,2020,Corporate Income,886970,02,11
Alaska,November,2020,General Sales,,02,11
Alaska,November,2020,Individual Income,,02,11
Alaska,November,2020,Lodging,,02,11
Alaska,November,2020,Motor Fuel,2780141,02,11
Alaska,November,2020,Tobacco,,02,11
Alaska,November,2021,Alcoholic Beverage,3389265,02,11
Alaska,November,2021,Corporate Income,,02,11
Alaska,November,2021,General Sales,,02,11
Alaska,November,2021,Individual Income,,02,11
Alaska,November,2021,Lodging,,02,11
Alaska,November,2021,Motor Fuel,3307966,02,11
Alaska,November,2021,Tobacco,4383889,02,11
Alaska,October,2019,Alcoholic Beverage,3271309,02,10
Alaska,October,2019,Corporate Income,-10018652,02,10
Alaska,October,2019,General Sales,,02,10
Alaska,October,2019,Individual Income,,02,10
Alaska,October,2019,Lodging,,02,10
Alaska,October,2019,Motor Fuel,4028544,02,10
Alaska,October,2019,Tobacco,4964557,02,10
Alaska,October,2020,Alcoholic Beverage,3290558,02,10
Alaska,October,2020,Corporate Income,1455300,02,10
Alaska,October,2020,General Sales,,02,10
Alaska,October,2020,Individual Income,,02,10
Alaska,October,2020,Lodging,,02,10
Alaska,October,2020,Motor Fuel,3699622,02,10
Alaska,October,2020,Tobacco,4267733,02,10
Alaska,October,2021,Alcoholic Beverage,3165059,02,10
Alaska,October,2021,Corporate Income,,02,10
Alaska,October,2021,General Sales,,02,10
Alaska,October,2021,Individual Income,,02,10
Alaska,October,2021,Lodging,,02,10
Alaska,October,2021,Motor Fuel,3329627,02,10
Alaska,October,2021,Tobacco,2363598,02,10
Alaska,September,2019,Alcoholic Beverage,3137155,02,09
Alaska,September,2019,Corporate Income,63795720,02,09
Alaska,September,2019,General Sales,,02,09
Alaska,September,2019,Individual Income,,02,09
Alaska,September,2019,Lodging,,02,09
Alaska,September,2019,Motor Fuel,4059407,02,09
Alaska,September,2019,Tobacco,4844548,02,09
Alaska,September,2020,Alcoholic Beverage,5379988,02,09
Alaska,September,2020,Corporate Income,17334460,02,09
Alaska,September,2020,General Sales,,02,09
Alaska,September,2020,Individual Income,,02,09
Alaska,September,2020,Lodging,,02,09
Alaska,September,2020,Motor Fuel,4142529,02,09
Alaska,September,2020,Tobacco,4812430,02,09
Alaska,September,2021,Alcoholic Beverage,3606418,02,09
Alaska,September,2021,Corporate Income,55955000,02,09
Alaska,September,2021,General Sales,,02,09
Alaska,September,2021,Individual Income,,02,09
Alaska,September,2021,Lodging,,02,09
Alaska,September,2021,Motor Fuel,4037472,02,09
Alaska,September,2021,Tobacco,5328164,02,09
Arizona,April,2019,Alcoholic Beverage,3193524,04,04
Arizona,April,2019,Corporate Income,76833046,04,04
Arizona,April,2019,General Sales,471896290,04,04
Arizona,April,2019,Individual Income,583253716,04,04
Arizona,April,2019,Lodging,19204493,04,04
Arizona,April,2019,Motor Fuel,66740952,04,04
Arizona,April,2019,Tobacco,1355832,04,04
Arizona,April,2020,Alcoholic Beverage,3092205,04,04
Arizona,April,2020,Corporate Income,50440771,04,04
Arizona,April,2020,General Sales,447930583,04,04
Arizona,April,2020,Individual Income,333923441,04,04
Arizona,April,2020,Lodging,4098516,04,04
Arizona,April,2020,Motor Fuel,61570083,04,04
Arizona,April,2020,Tobacco,1872241,04,04
Arizona,April,2021,Alcoholic Beverage,3125350,04,04
Arizona,April,2021,Corporate Income,179105324,04,04
Arizona,April,2021,General Sales,596128152,04,04
Arizona,April,2021,Individual Income,545148569,04,04
Arizona,April,2021,Lodging,19690716,04,04
Arizona,April,2021,Motor Fuel,72153656,04,04
Arizona,April,2021,Tobacco,2424280,04,04
Arizona,August,2019,Alcoholic Beverage,2286268,04,08
Arizona,August,2019,Corporate Income,5047223,04,08
Arizona,August,2019,General Sales,436759306,04,08
Arizona,August,2019,Individual Income,388988905,04,08
Arizona,August,2019,Lodging,12628462,04,08
Arizona,August,2019,Motor Fuel,60102221,04,08
Arizona,August,2019,Tobacco,1794994,04,08
Arizona,August,2020,Alcoholic Beverage,2484312,04,08
Arizona,August,2020,Corporate Income,22891049,04,08
Arizona,August,2020,General Sales,479807472,04,08
Arizona,August,2020,Individual Income,393647609,04,08
Arizona,August,2020,Lodging,9624754,04,08
Arizona,August,2020,Motor Fuel,56671360,04,08
Arizona,August,2020,Tobacco,1975836,04,08
Arizona,August,2021,Alcoholic Beverage,2607973,04,08
Arizona,August,2021,Corporate Income,17874893,04,08
Arizona,August,2021,General Sales,554472896,04,08
Arizona,August,2021,Individual Income,474768370,04,08
Arizona,August,2021,Lodging,14548928,04,08
Arizona,August,2021,Motor Fuel,67666465,04,08
Arizona,August,2021,Tobacco,1798404,04,08
Arizona,December,2019,Alcoholic Beverage,3534156,04,12
Arizona,December,2019,Corporate Income,116977545,04,12
Arizona,December,2019,General Sales,445679450,04,12
Arizona,December,2019,Individual Income,465944067,04,12
Arizona,December,2019,Lodging,15020138,04,12
Arizona,December,2019,Motor Fuel,62440818,04,12
Arizona,December,2019,Tobacco,1960166,04,12
Arizona,December,2020,Alcoholic Beverage,3475719,04,12
Arizona,December,2020,Corporate Income,101295183,04,12
Arizona,December,2020,General Sales,495253851,04,12
Arizona,December,2020,Individual Income,527323634,04,12
Arizona,December,2020,Lodging,10243776,04,12
Arizona,December,2020,Motor Fuel,60385133,04,12
Arizona,December,2020,Tobacco,1782527,04,12
Arizona,December,2021,Alcoholic Beverage,4598826,04,12
Arizona,December,2021,Corporate Income,213848325,04,12
Arizona,December,2021,General Sales,589041861,04,12
Arizona,December,2021,Individual Income,595280071,04,12
Arizona,December,2021,Lodging,,04,12
Arizona,December,2021,Motor Fuel,66822326,04,12
Arizona,December,2021,Tobacco,2325973,04,12
Arizona,February,2020,Alcoholic Beverage,2865630,04,02
Arizona,February,2020,Corporate Income,8061595,04,02
Arizona,February,2020,General Sales,448284583,04,02
Arizona,February,2020,Individual Income,-17053347,04,02
Arizona,February,2020,Lodging,20303544,04,02
Arizona,February,2020,Motor Fuel,62784422,04,02
Arizona,February,2020,Tobacco,1559395,04,02
Arizona,February,2021,Alcoholic Beverage,1479470,04,02
Arizona,February,2021,Corporate Income,17312387,04,02
Arizona,February,2021,General Sales,477621532,04,02
Arizona,February,2021,Individual Income,361961015,04,02
Arizona,February,2021,Lodging,14076107,04,02
Arizona,February,2021,Motor Fuel,59511248,04,02
Arizona,February,2021,Tobacco,1479470,04,02
Arizona,January,2020,Alcoholic Beverage,3799361,04,01
Arizona,January,2020,Corporate Income,17775669,04,01
Arizona,January,2020,General Sales,538962101,04,01
Arizona,January,2020,Individual Income,651356600,04,01
Arizona,January,2020,Lodging,19263056,04,01
Arizona,January,2020,Motor Fuel,62440818,04,01
Arizona,January,2020,Tobacco,2007604,04,01
Arizona,January,2021,Alcoholic Beverage,3508294,04,01
Arizona,January,2021,Corporate Income,44018126,04,01
Arizona,January,2021,General Sales,588522686,04,01
Arizona,January,2021,Individual Income,680994298,04,01
Arizona,January,2021,Lodging,11419269,04,01
Arizona,January,2021,Motor Fuel,62354396,04,01
Arizona,January,2021,Tobacco,1705377,04,01
Arizona,July,2019,Alcoholic Beverage,3083451,04,07
Arizona,July,2019,Corporate Income,35290082,04,07
Arizona,July,2019,General Sales,436035791,04,07
Arizona,July,2019,Individual Income,446177592,04,07
Arizona,July,2019,Lodging,12624597,04,07
Arizona,July,2019,Motor Fuel,62477830,04,07
Arizona,July,2019,Tobacco,1959590,04,07
Arizona,July,2020,Alcoholic Beverage,3251750,04,07
Arizona,July,2020,Corporate Income,80489057,04,07
Arizona,July,2020,General Sales,492774410,04,07
Arizona,July,2020,Individual Income,987245915,04,07
Arizona,July,2020,Lodging,9072656,04,07
Arizona,July,2020,Motor Fuel,57702010,04,07
Arizona,July,2020,Tobacco,1835371,04,07
Arizona,July,2021,Alcoholic Beverage,3513201,04,07
Arizona,July,2021,Corporate Income,57492037,04,07
Arizona,July,2021,General Sales,580873408,04,07
Arizona,July,2021,Individual Income,508846716,04,07
Arizona,July,2021,Lodging,16246700,04,07
Arizona,July,2021,Motor Fuel,68606095,04,07
Arizona,July,2021,Tobacco,1934550,04,07
Arizona,June,2019,Alcoholic Beverage,3108568,04,06
Arizona,June,2019,Corporate Income,103001274,04,06
Arizona,June,2019,General Sales,439589070,04,06
